id,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
42522.총전입 (명),1819,1533,2709,4061,4530,3812,5132,4620,3894,3684,4950,6553,5032,5027,5863,7003,4464,2573,4387,5126,7103,5349,7381,7659,5134,36668,24418,34349,17556,17211,11798,4646,147796,15898,14684,21438,19922,17659,23520,32391,7716
42522.총전출 (명),2199,1740,3019,3870,4919,4634,5469,5378,4166,3924,5910,7122,5150,5934,6147,7344,4759,2843,5469,5077,7680,5435,8236,8349,6689,38781,25286,33998,17966,18142,12334,2487,137581,15126,14382,20051,19764,17721,23352,32116,6519
42552.총전입 (명),1675,1528,2551,3280,4052,3618,4562,4497,3576,3192,4950,5789,3787,4479,5323,7018,3980,2322,4406,4357,6630,5333,7276,7480,4495,32635,25905,39043,15324,16011,10411,3703,152101,14964,14742,19478,16979,16610,21912,27779,7137
42552.총전출 (명),1921,1581,2813,3366,4441,4267,5129,5695,3807,3747,6018,6267,4279,5177,5689,7826,4527,2577,5491,4696,6923,5427,8120,7766,5451,34565,26394,38258,15522,16489,10994,2112,138877,14927,14375,18960,17243,17153,22327,27885,5808
42583.총전입 (명),2018,1904,2885,4131,4844,4083,5376,5529,4203,3996,5988,6211,4095,5179,6563,9712,4708,2640,5489,5583,7800,5819,8715,9371,5477,38613,31352,41232,18116,19408,11559,5323,182540,17116,16696,22955,19681,19007,25400,32183,8382
42583.총전출 (명),2294,1772,3391,4180,5208,4781,6039,6768,4404,4377,6946,6900,4720,6184,6919,9148,5822,3132,6760,5741,8542,6163,9512,10085,7202,40144,31272,40566,18609,20086,12152,3144,167422,16937,16554,21718,20063,19636,26328,33006,7255
42614.총전입 (명),1845,1567,2490,3327,4234,3725,4668,4565,3505,3607,5326,5510,3574,4735,5184,8764,4318,2359,4664,5575,6823,6026,7318,8393,5738,32336,23401,35784,15792,15466,9995,3965,152589,15714,14253,20524,16884,15793,21155,27454,6775
42614.총전출 (명),2053,1629,2950,3596,4560,4140,4988,5601,3807,3882,6145,6011,4009,5632,5808,7999,5062,2781,6151,5498,7549,5552,8088,8620,6639,34284,23797,35177,16256,15982,10643,2539,141531,15114,13948,19233,17360,16490,21067,27623,5926
42644.총전입 (명),1861,1822,2757,3534,4576,4468,5594,5168,3888,4256,6367,6240,4107,5008,5784,9642,4766,2804,5043,6140,7325,7410,7656,10931,6463,38232,26049,39839,17360,18049,11208,5209,170234,18666,16509,22619,18586,16900,24104,31838,7344
42644.총전출 (명),2114,1814,3336,4322,5228,4924,5926,6108,4494,4356,7361,7038,4385,6279,6823,8981,5650,3233,6400,6323,8211,6813,8325,10247,8177,40719,26702,39451,18230,18978,11576,3032,157398,18091,15935,21113,19158,16814,24642,31236,6413
42675.총전입 (명),1683,1557,2904,4401,4541,4206,5248,4996,3852,4116,6133,6186,3856,5402,5624,8922,4794,2876,4925,5630,7357,6575,7807,10392,6183,40842,29511,40280,17896,19300,11493,5679,181152,18753,17612,25035,22437,18921,25265,33251,7693
42675.총전출 (명),2063,1729,3400,4255,5205,4750,5692,6155,4396,4546,7330,7034,4315,6481,7110,8022,5538,3213,6153,6165,8285,6733,9208,9640,7330,43346,29775,40288,18771,20106,12217,3820,169278,18458,16534,22948,21806,18445,25372,32673,6701
