id,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
42522.총전입 (명),1819,1533,2709,4061,4530,3812,5132,4620,3894,3684,4950,6553,5032,5027,5863,7003,4464,2573,4387,5126,7103,5349,7381,7659,5134
42522.총전출 (명),2199,1740,3019,3870,4919,4634,5469,5378,4166,3924,5910,7122,5150,5934,6147,7344,4759,2843,5469,5077,7680,5435,8236,8349,6689
42522.순이동 (명),-380,-207,-310,191,-389,-822,-337,-758,-272,-240,-960,-569,-118,-907,-284,-341,-295,-270,-1082,49,-577,-86,-855,-690,-1555
42552.총전입 (명),1675,1528,2551,3280,4052,3618,4562,4497,3576,3192,4950,5789,3787,4479,5323,7018,3980,2322,4406,4357,6630,5333,7276,7480,4495
42552.총전출 (명),1921,1581,2813,3366,4441,4267,5129,5695,3807,3747,6018,6267,4279,5177,5689,7826,4527,2577,5491,4696,6923,5427,8120,7766,5451
42552.순이동 (명),-246,-53,-262,-86,-389,-649,-567,-1198,-231,-555,-1068,-478,-492,-698,-366,-808,-547,-255,-1085,-339,-293,-94,-844,-286,-956
42583.총전입 (명),2018,1904,2885,4131,4844,4083,5376,5529,4203,3996,5988,6211,4095,5179,6563,9712,4708,2640,5489,5583,7800,5819,8715,9371,5477
42583.총전출 (명),2294,1772,3391,4180,5208,4781,6039,6768,4404,4377,6946,6900,4720,6184,6919,9148,5822,3132,6760,5741,8542,6163,9512,10085,7202
42583.순이동 (명),-276,132,-506,-49,-364,-698,-663,-1239,-201,-381,-958,-689,-625,-1005,-356,564,-1114,-492,-1271,-158,-742,-344,-797,-714,-1725
42614.총전입 (명),1845,1567,2490,3327,4234,3725,4668,4565,3505,3607,5326,5510,3574,4735,5184,8764,4318,2359,4664,5575,6823,6026,7318,8393,5738
42614.총전출 (명),2053,1629,2950,3596,4560,4140,4988,5601,3807,3882,6145,6011,4009,5632,5808,7999,5062,2781,6151,5498,7549,5552,8088,8620,6639
42614.순이동 (명),-208,-62,-460,-269,-326,-415,-320,-1036,-302,-275,-819,-501,-435,-897,-624,765,-744,-422,-1487,77,-726,474,-770,-227,-901
42644.총전입 (명),1861,1822,2757,3534,4576,4468,5594,5168,3888,4256,6367,6240,4107,5008,5784,9642,4766,2804,5043,6140,7325,7410,7656,10931,6463
42644.총전출 (명),2114,1814,3336,4322,5228,4924,5926,6108,4494,4356,7361,7038,4385,6279,6823,8981,5650,3233,6400,6323,8211,6813,8325,10247,8177
42644.순이동 (명),-253,8,-579,-788,-652,-456,-332,-940,-606,-100,-994,-798,-278,-1271,-1039,661,-884,-429,-1357,-183,-886,597,-669,684,-1714
42675.총전입 (명),1683,1557,2904,4401,4541,4206,5248,4996,3852,4116,6133,6186,3856,5402,5624,8922,4794,2876,4925,5630,7357,6575,7807,10392,6183
